name, e1, e2, e3, e4, e5, e6, e7, e8, e9, e10, mean, SD, 95% confidence
control, 4.850101, 4.788033, 4.808012, 4.838157, 4.840127, 4.831798, 4.858228, 4.838485, 4.85462, 4.823681, 4.8331242, 0.0205872779395, 0.0147272503893
id value, 4.785119, 4.843298, 4.815094, 4.881973, 4.851441, 4.804971, 4.861958, 4.839828, 4.834006, 4.839995, 4.8357683, 0.0266492183977, 0.0190637010476
type case, 4.873756, 4.896648, 4.826852, 4.898134, 4.901293, 4.871163, 4.888901, 4.916225, 4.888787, 4.910469, 4.8872228, 0.0242415780749, 0.0173413790395
type presence, 4.824624, 4.834998, 4.854553, 4.838279, 4.798595, 4.845457, 4.798102, 4.856887, 4.856458, 4.790355, 4.8298308, 0.0244178716919, 0.0174674918868
type value, 4.839396, 4.807623, 4.86058, 4.81266, 4.849033, 4.823165, 4.849225, 4.800519, 4.838992, 4.866987, 4.834818, 0.0216547736954, 0.0154908907954
xml:lang presence, 4.824565, 4.847426, 4.8616, 4.810106, 4.826808, 4.860632, 4.796441, 4.842837, 4.814774, 4.885065, 4.8370254, 0.0259566217455, 0.018568247285
xml:lang value, 4.887189, 4.841462, 4.916245, 4.87621, 4.865462, 4.869552, 4.884274, 4.836744, 4.876777, 4.863265, 4.871718, 0.0216317330882, 0.0154744085391
leading space, 4.846663, 4.86652, 4.766196, 4.84297, 4.816135, 4.84633, 4.815108, 4.824117, 4.810577, 4.806401, 4.8241017, 0.0267433955662, 0.0191310713306
trailing space, 4.782977, 4.8379, 4.843142, 4.812728, 4.816793, 4.847166, 4.856712, 4.867662, 4.819228, 4.848312, 4.833262, 0.0238550186711, 0.0170648511204
id value + type case, 4.909429, 4.854294, 4.861306, 4.85294, 4.910726, 4.910496, 4.907482, 4.8982, 4.904497, 4.893656, 4.8903026, 0.0230093911401, 0.0164599256697
id value + type case + xml:lang presence, 4.876109, 4.923362, 4.933428, 4.898247, 4.91449, 4.895057, 4.857912, 4.890361, 4.91722, 4.876807, 4.8982993, 0.0226744137214, 0.0162202972771
id value + type case + xml:lang value, 4.968847, 4.944141, 4.938366, 4.94011, 4.972505, 4.946922, 4.942547, 4.954881, 4.926108, 4.90617, 4.9440597, 0.0183222398961, 0.0131069398993
